//地址：https://raw.gitcode.com/lionzang/TV/raw/main/channel.txt
ğŸ‡¨ğŸ‡³å¤®è§†é¢‘é“1,#genre#
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226008/index.m3u8
CCTV9,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225734/index.m3u8
CCTV10,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225730/index.m3u8
CCTV11,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225597/index.m3u8
CCTV12,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225731/index.m3u8
CCTV13,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226011/index.m3u8
CCTV14,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225732/index.m3u8
CCTV15,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225601/index.m3u8
CCTV16,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226100/index.m3u8
CCTV17,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225765/index.m3u8
CCTV1,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225816/index.m3u8
CCTV3,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225799/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225818/index.m3u8
CCTV5+,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225507/index.m3u8
CCTV6,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225814/index.m3u8
CCTV7,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225671/index.m3u8
CCTV8,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225795/index.m3u8
CCTV9,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225676/index.m3u8
CCTV10,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225677/index.m3u8
CCTV11,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225517/index.m3u8
CCTV12,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225669/index.m3u8
CCTV13,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225812/index.m3u8
CCTV14,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225674/index.m3u8
CCTV15,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225513/index.m3u8
CCTV16,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225893/index.m3u8
CCTV17,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225708/index.m3u8
CETV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225652/index.m3u8
CETV4,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225783/index.m3u8
CGTN,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63806f4f64099/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUap6gG4YPDtM5jJ9BeY859LkHVEKIeieCbU4HUV%2BZ9aFwSHAnd8F70VqU6TYif81mMC79YJ%2BEEiYI8DYDTaxhzE
CGTN,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225604/index.m3u8
CGTNçºªå½•,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225602/index.m3u8
CGTNä¿„è¯­,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638071d299009/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUaSsNLt4Nk6r4W9qq%2FCDwVBpu%2Bd8oi%2FZBV7QZaH2nvMDC8YfPqSjgvIu0Auay5DY5x%2FNqUGittSlgAuOf2q3Hqw
CGTNæ³•è¯­,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63806fb631afe/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUap6gG4YPDtM5jJ9BeY859Jl30zDhWOxOChfz6zZGXm5AxEG2nM0jV%2Bz98DG%2B3LggHigAvzizwxj%2BnU8zoIJ5eI
CGTNè®°å½•,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63a15d0ee63f3/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSaCqIIft58cZ4PZIJmJQKDE%2BhMJnrkAZeCJCdRJXvlspyKifC5nxyZPvhyagt5zUWfqOxoNjmqM5FCfJztd4V4
CGTNè¥¿ç­ç‰™è¯­,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63806f81c8eb5/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUap6gG4YPDtM5jJ9BeY859LpCL6J7ZtZvSzaGNoejhX%2FbNh%2FUg28dwPszgBZkEAMg2VxNQuvSmdjhzvIIS4yJP4
CGTNé˜¿æ‹‰ä¼¯è¯­,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638071d299009/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUaSsNLt4Nk6r4W9qq%2FCDwVDatBZcJQo3xmh5jB8MUTZscqd4uhNXfrNVsIVK4SmtkmgfNyDajGSot7TTk6SWF%2BQ

ğŸ‡¨ğŸ‡³å«è§†é¢‘é“4,#genre#
åŒ—äº¬å«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226450/index.m3u8
ä¸œæ–¹å«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226345/index.m3u8
æµ™æ±Ÿå«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226339/index.m3u8
æ±Ÿè‹å«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226310/index.m3u8
æ¹–å—å«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226307/index.m3u8
æ¹–åŒ—å«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226477/index.m3u8
å¹¿ä¸œå«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226248/index.m3u8
å¹¿è¥¿å«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226549/index.m3u8
æ±åœ³å«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226313/index.m3u8
å¤©æ´¥å«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226459/index.m3u8
ä¸œå—å«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226341/index.m3u8
å››åå«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226338/index.m3u8
å®‰å¾½å«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226391/index.m3u8
å±±ä¸œå«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226456/index.m3u8
æ±Ÿè¥¿å«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226344/index.m3u8
æ²³åŒ—å«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226406/index.m3u8
æ²³å—å«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226480/index.m3u8
æµå—å«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226465/index.m3u8
è´µåå«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226474/index.m3u8
è¾½å®å«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226546/index.m3u8
é‡åº†å«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226409/index.m3u8
å‰æ—å«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226397/index.m3u8
é»‘é¾™æ±Ÿå«è§†,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226327/index.m3u8
åŒ—äº¬å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226450/index.m3u8
ä¸œæ–¹å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226345/index.m3u8
æ±Ÿè‹å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226310/index.m3u8
æ±åœ³å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226313/index.m3u8
æµ™æ±Ÿå«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226339/index.m3u8
æ¹–å—å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221226430/index.m3u8
å±±ä¸œå«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226456/index.m3u8
å¤©æ´¥å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226459/index.m3u8
å¹¿ä¸œå«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226248/index.m3u8
ä¸œå—å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226341/index.m3u8
è´µåå«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226474/index.m3u8
æ²³å—å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226480/index.m3u8
æ±Ÿè¥¿å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226344/index.m3u8
å››åå«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226338/index.m3u8
é‡åº†å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226409/index.m3u8
å®‰å¾½å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226391/index.m3u8
å¤©æ´¥å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226459/index.m3u8
è¾½å®å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221226254/index.m3u8
å‰æ—å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221226397/index.m3u8
é»‘é¾™æ±Ÿå«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221226327/index.m3u8
å¹¿è¥¿å«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
æ±Ÿè¥¿å«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
æ²³åŒ—å«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
æ²³å—å«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
å±±è¥¿å«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
ä¸œå—å«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
è´µåå«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
å®å¤å«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
é™•è¥¿å«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
ç”˜è‚ƒå«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
å‰æ—å«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
å››åå«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
äº‘å—å«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
é’æµå«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
æ–°ç–†å«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
æµå—å«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
å†…è’™å¤å«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
å…µå›¢å«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
å»¶è¾¹å«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
å¤§æ¹¾åŒºå«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226442/index.m3u8
å®‰å¤šå«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
åºå´å«è§†,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
é»‘é¾™æ±Ÿå«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226327/index.m3u8
å‰æ—å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226397/index.m3u8
åŒ—äº¬å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226450/index.m3u8
å¤©æ´¥å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226459/index.m3u8
æ²³åŒ—å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226406/index.m3u8
æ²³å—å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226480/index.m3u8
æ±Ÿè‹å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226310/index.m3u8
æµ™æ±Ÿå«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226339/index.m3u8
ä¸œæ–¹å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226345/index.m3u8
å®‰å¾½å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226391/index.m3u8
å±±ä¸œå«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226456/index.m3u8
æ¹–åŒ—å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226477/index.m3u8
æ±Ÿè¥¿å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226344/index.m3u8
æ±åœ³å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226313/index.m3u8
å››åå«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226338/index.m3u8
é‡åº†å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226409/index.m3u8
å¹¿ä¸œå«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226248/index.m3u8
ä¸œå—å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226341/index.m3u8
è´µåå«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226474/index.m3u8
æµå—å«è§†,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226465/index.m3u8
è¾½å®å«è§†,http://[2409:8087:5e01:34::38]:6610/ZTE_CMS/00000001000000060000000000000367/index.m3u8?fmmv6
æ²³åŒ—å«è§†,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000487/index.m3u8?fmmv6
å®å¤å«è§†,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000309/index.m3u8?fmmv6
ä¸‰æ²™å«è§†,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000319/index.m3u8?fmmv6
åŒ—äº¬å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225931/index.m3u8
ä¸œæ–¹å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225942/index.m3u8
æ±Ÿè‹å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225938/index.m3u8
æ±Ÿè‹å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225929/index.m3u8
æµ™æ±Ÿå«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225959/index.m3u8
ä¸œå—å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226038/index.m3u8
ä¸œå—å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225950/index.m3u8
å¹¿ä¸œå«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225966/index.m3u8
æ±åœ³å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225997/index.m3u8
æ±åœ³å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225943/index.m3u8
æ¹–åŒ—å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225975/index.m3u8
æ¹–åŒ—å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226015/index.m3u8
æµå—å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225978/index.m3u8
æ²³åŒ—å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225961/index.m3u8
æ²³åŒ—å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225991/index.m3u8
æ²³å—å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226023/index.m3u8
æ²³å—å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225988/index.m3u8
å‰æ—å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226013/index.m3u8
å‰æ—å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225981/index.m3u8
å®‰å¾½å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225925/index.m3u8
è´µåå«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226030/index.m3u8
è´µåå«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225974/index.m3u8
æ±Ÿè¥¿å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225935/index.m3u8
å±±ä¸œå«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225952/index.m3u8
å±±è¥¿å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226009/index.m3u8
é™•è¥¿å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225989/index.m3u8
å››åå«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225970/index.m3u8
å¤©æ´¥å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225972/index.m3u8
é‡åº†å«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225963/index.m3u8
é»‘é¾™æ±Ÿå«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225985/index.m3u8
é»‘é¾™æ±Ÿå«è§†,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226006/index.m3u8



ğŸ¼æˆæ›²é¢‘é“,#genre#

æ¢¨å›­é¢‘é“,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380788ba7bed/index.m3u8?AuthInfo=toEYVdLfxymUP2l9NZpQI5%2BK6T7j%2FlRm%2BvbM9VO7bA0q1S1k1f36SqqriM0FZoFSAJRfCt8SS7X6sTRmXb81a8O4H%2FdroDKjLoDeaMQdyJQ
æ²³å—æ¢¨å›­,https://tv.cry33.com/hn.php?id=hnly
ç§»åŠ¨æˆæ›²,https://tv.cry33.com/hn.php?id=ydxj
ä¸œåŒ—æˆæ›²,http://rqd.mytvh.top:10063/stream/channelid/2064447336?ticket=904cd7963ebdbda1cb6af3ff918bbc760b7d89a1&profile=pass

ğŸ¬ç”µå½±é¢‘é“,#genre#
é‡æ¸©ç»å…¸,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
é‡æ¸©ç»å…¸,http://36.108.172.237:10005/stream/channelid/14506760
CHCé«˜æ¸…ç”µå½±,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380764b172c9/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTrwI%2B%2BngB0lPRofcD8hTNS8qWmEGeaUedzcFVVumqf9cm8lJoOcrIZueLbqOJTuoPV%2FwBk6CoHYGFV14SkLW04
CHCåŠ¨ä½œç”µå½±,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380763222d00/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTrwI%2B%2BngB0lPRofcD8hTNSXQZMUEnZPBI3Y%2BI8ABE4PJC%2B6OvlZZw5ubC%2FbrIdxFJJY1CcAGU%2BYDDQV9oJ%2FVqQ
CHCå®¶åº­å½±é™¢,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63807601b19dd/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTrwI%2B%2BngB0lPRofcD8hTNRxu2SqX2RKsLT0S7AyQ8XopIVrD6IJGxdajeuKy4iZqZ4tkZuiEpwSRPszF6PIvg4

é‚µæ°å½±é™¢@ä»£,http://159.75.85.63:35455/douyu/4246519
é‚µæ°å½±é™¢@ä»£,https://www.goodiptv.club/douyu/4246519
é‚µæ°å½±é™¢@ä»£,http://huanqiuzhibo.cn/manifest/douyu.php?id=4246519
é‚µæ°å½±é™¢@ä»£,http://www.goodiptv.club/douyu/4246519
é‡æ¸©ç»å…¸é¢‘é“,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
ç»å…¸ç”µå½±é¢‘é“,https://ali.hlspull.yximgs.com/live/asdfg32522.flv
ç»å…¸å½±é™¢é¢‘é“,https://ali.hlspull.yximgs.com/live/asdfg32516.flv
ç»å…¸åŠŸå¤«é¢‘é“,http://cfss.cc/cdn/yy/1355002394.flv
é¾™è…¾åŠŸå¤«é¢‘é“,http://cfss.cc/cdn/yy/1356261006.flv
é¾™è…¾åŠŸå¤«é¢‘é“,http://live.dxms.top:80/dwy/ltgft.php
é‡æ¸©ç»å…¸é¢‘é“,http://live.dxms.top:80/dwy/cwjd.php
ç»å…¸å½±é™¢é¢‘é“,http://live.dxms.top:80/dwy/jdyst.php
ç»å…¸æ€€æ—§é¢‘é“,http://live.dxms.top:80/dwy/jdhj.php
ç»å…¸å‰§åœºé¢‘é“,http://live.dxms.top:80/dwy/jdjc.php
ç»å…¸å°å‰§é¢‘é“,http://live.dxms.top:80/dwy/jdtj.php
ç»å…¸å†›æ—…é¢‘é“,http://live.dxms.top:80/dwy/jljc.php
ç»å…¸å®«åº­é¢‘é“,http://live.dxms.top:80/dwy/gtjc.php
ç»å…¸æ¸…å‰§é¢‘é“,http://live.dxms.top:80/dwy/jdqj.php
ç»å…¸å¤©é¾™é¢‘é“,http://live.dxms.top:80/dwy/jdtl.php
é‡‘åº¸å‰§åœºé¢‘é“,http://cfss.cc/cdn/hy/11602082.flv
ç»å…¸é‡‘åº¸é¢‘é“,http://live.dxms.top:80/dwy/jyjc.php
ç»å…¸æ˜Ÿå…‰é¢‘é“,http://live.dxms.top:80/dwy/xgsj.php
ç»å…¸ä¸‰å›½é¢‘é“,http://live.dxms.top:80/dwy/jdsg.php
ç»å…¸çº¢æ¥¼é¢‘é“,http://live.dxms.top:80/dwy/jdhl.php
ç»å…¸æ€€æ—§é¢‘é“,http://live.dxms.top:80/dwy/hjjc.php
ç»å…¸æ¸¯ç‰‡é¢‘é“,http://live.dxms.top:80/dwy/jdgp.php
ç»å…¸å–œå‰§é¢‘é“,http://live.dxms.top:80/dwy/jdxj.php
ç»å…¸å›å¿†é¢‘é“,http://live.dxms.top:80/dwy/hyyy.php
ç»å…¸å½±é™¢@ä»£,http://ali.hlspull.yximgs.com/live/asdfg32516.flv
é¦™æ¸¯ç”µå½±é¢‘é“,http://live-cmvideo.cmread.com:80/wd_r2/virtuallive/5100180869/150/01.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=a78e73c9d50f677a369a589aace6f489
å‘¨æ˜Ÿé©°å½±@ä»£,http://223.109.210.49/txdirect.flv.huya.com/src/1394575534-1394575534-5989656310331736064-2789274524-10057-A-0-1.flv
è¶…çº§ç”µå½±@ä»£,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
ä¸­å›½åŠŸå¤«@ä»£,http://[2409:8087:1a0b:df::4001]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
